order_id,customer_name,product_id,quantity,order_date,total_amount
1001,Rahul Sharma,P101,2,5/20/2026,2500
1002,Priya Verma,P102,1,5/21/2026,1200
1003,Amit Kumar,P103,5,5/22/2026,5400
1004,Sneha Reddy,P101,3,5/23/2026,3750
1005,Vikram Singh,P104,2,5/24/2026,4600
1006,Simran,P101,2,5/20/2026,1200
1007,Vishal Rajput,P102,1,5/21/2026,5400
1008,Vivek Rajput,P103,5,5/22/2026,3750
1009,Minakshi Rajput,P101,3,5/23/2026,1200
1010,Gulab singh,P104,2,5/24/2026,5400
1011,Pushpa,P101,2,5/20/2026,3750
1012,Snehal,P102,1,5/21/2026,1200
1013,Ojaswl,P103,5,5/22/2026,5400
1014,Cherry,P101,3,5/23/2026,3750
1015,Siddhi,P104,2,5/24/2026,4600
1016,Mishu,P101,2,5/20/2026,1200
1017,Yana,P102,1,5/21/2026,5400
1018,Monika,P103,5,5/22/2026,4600
1019,Vinita,P101,3,5/23/2026,1200
1020,Siddhant,P104,2,5/24/2026,5400
